Nombre; Precio; Precio1; 
 Rhodiola Rosea;38,97;45,85
 Magnesio y vitamina D3+K2;15,95;18,82
 Melatonina 1,95 mg;16,41;19,36
 Vitamina D3 + K2;15,25;18,00
 Jalea real 2000 mg con própolis y equinácea;17,65;23,20
 Perlas de aceite de onagra;15,85;22,15
 Ashwagandha 600 mg;23,00;27,14
 Vitamina D3 4000 UI;16,35;23,50
 Espirulina pura bio;15,95;22,18
 Mast Lax;5,95;17,00
 Aloe Vera;14,50;17,00
 Vitamina C 1000 mg con acción retardada;14,50;17,50
 Cúrcuma con pimienta negra;14,95;17,69
 Omega 3,6,9;14,99;19,05
 Colágeno con magnesio;16,15;17,95
 Colágeno marino con ácido hialurónico;15,25;21,19
 L-glutamina en polvo;17,96;22,18
 Coenzima Q10;18,80;15,15
 Melatonina 1,95 mg;12,95;18,75
 Florase Intest;18,71;19,35
 Aquilea Sueño;15,45;31,15
 Vigor Total;17,60;25,95
 Fisiocrem Active Articulaciones y Músculos;24,95;undefined
 Cardo mariano extracto natural 12.375 mg;21,99;undefined
 
